time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1080010.0;5;3294.117676;729882.375;0.47;923380;1722340;89.0;1.6;15;100.0;100.0;100.0;88.0;100.0;88.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;88.0;88.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0
1080020.0;5;5600.0;827200.0;0.47;923380;1722340;89.0;0.79;15;100.0;87.0;100.0;100.0;100.0;100.0;87.0;100.0;100.0;100.0;100.0;100.0;100.0;87.0;100.0;87.0;87.0;87.0;100.0;87.0;87.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;87.0;62.0;100.0;87.0
1080020.0;5;9333.333008;689333.3125;0.47;923380;1722340;89.0;1.6;15;100.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;88.0;100.0;75.0;100.0;75.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;75.0;100.0;100.0;100.0;88.0;100.0;75.0
1080020.0;5;8000.0;886285.6875;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;100.0;100.0;100.0;88.0;75.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;100.0;75.0;100.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;88.0
1080020.0;5;4000.0;1477142.875;0.47;923380;1722340;89.0;1.6;15;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.0;100.0;100.0;100.0;75.0;100.0;87.0;87.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;87.0;100.0;100.0;87.0;100.0;75.0;100.0;87.0;100.0;100.0
1080020.0;5;0.0;954461.5625;0.47;923380;1722340;89.0;0.78;15;100.0;88.0;100.0;100.0;100.0;88.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;88.0;88.0;100.0;88.0;100.0;100.0;100.0;88.0;88.0;100.0;88.0;100.0;100.0;75.0;100.0;88.0;100.0;100.0
1080020.0;5;14222.222656;925777.75;0.47;923380;1722340;89.0;1.5;15;100.0;88.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;88.0;88.0;100.0;100.0;100.0;88.0;75.0;100.0;88.0;75.0;100.0;63.0;100.0;88.0;100.0;100.0
1080020.0;5;0.0;636307.6875;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;100.0;100.0;87.0;87.0;100.0;100.0;87.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;87.0;100.0;74.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;74.0
1080020.0;5;4307.692383;1272615.375;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;88.0;100.0;100.0;75.0;100.0;100.0;100.0;88.0;100.0;88.0;88.0;88.0;100.0;88.0;88.0;100.0;100.0;100.0;100.0;75.0;100.0;88.0;100.0;75.0
1080020.0;5;11200.0;835200.0;0.47;923380;1722340;89.0;1.2;15;100.0;88.0;100.0;100.0;88.0;88.0;100.0;100.0;100.0;88.0;100.0;88.0;88.0;100.0;100.0;88.0;100.0;100.0;100.0;100.0;75.0;100.0;100.0;88.0;88.0;88.0;88.0;100.0;100.0;100.0;100.0;62.0
1080020.0;5;3733.333252;733866.6875;0.47;923380;1722340;89.0;1.2;15;87.0;100.0;100.0;100.0;87.0;100.0;87.0;75.0;87.0;100.0;100.0;100.0;87.0;100.0;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;75.0;87.0;75.0;100.0;87.0;100.0;100.0;87.0;75.0
1080020.0;5;4000.0;1477142.875;0.47;923380;1722340;89.0;1.2;15;100.0;87.0;100.0;100.0;87.0;100.0;100.0;100.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;75.0;87.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.0;75.0;87.0;100.0;62.0
1080030.0;5;7000.0;775500.0;0.47;923380;1722340;89.0;2.0;15;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;100.0;100.0;88.0;100.0;100.0;100.0;75.0;100.0;88.0;100.0;75.0
1080030.0;5;7000.0;775500.0;0.47;923380;1722340;89.0;0.78;15;100.0;88.0;88.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;100.0;100.0;100.0;88.0;75.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;100.0;100.0;88.0;88.0;75.0
1080030.0;5;3733.333252;551466.6875;0.47;923380;1722340;89.0;1.2;15;100.0;100.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;75.0;100.0;75.0;100.0;100.0;100.0;100.0;100.0;87.0;100.0;75.0;100.0;100.0;100.0;87.0;100.0;75.0;100.0;75.0;87.0;87.0
