time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
77008200;0;3350;1;-11.0;11.0;-4.3e-07;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;318153.84375;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;0.79;18;100.0;100.0;87.0;100.0;100.0;87.0;87.0;87.0;75.0;75.0;100.0;87.0;87.0;100.0;100.0;87.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.0;87.0;75.0;100.0;87.0;100.0;100.0;100.0;87.0
77008272;0;3350;1;-11.0;11.0;-7.3e-07;;;;0.0;142.0;1.0;4307.692383;0.0;0.0;0.0;0.0;0.0;231.0;0.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.2;18;100.0;100.0;88.0;88.0;100.0;100.0;100.0;88.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;100.0;100.0;88.0;88.0;88.0;100.0;100.0;75.0;100.0;88.0;75.0;88.0;88.0;100.0;75.0;100.0;75.0
77008346;0;3350;1;-11.0;11.0;-7.2e-07;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.2;18;100.0;100.0;88.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;88.0;88.0;100.0;88.0;100.0;75.0;88.0;88.0;75.0;88.0;100.0;100.0;88.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;88.0;75.0
77008421;0;3350;1;-11.0;11.0;-7e-07;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;258500.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.6;18;75.0;88.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;100.0;88.0;88.0;100.0;88.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;88.0;88.0;75.0;88.0;88.0
77008465;0;3350;1;-11.0;11.0;-8.5e-07;;;;0.0;142.0;1.0;3500.0;0.0;0.0;0.0;0.0;0.0;80.0;258500.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;0.4;18;100.0;100.0;100.0;100.0;100.0;87.0;87.0;87.0;100.0;87.0;87.0;87.0;100.0;87.0;87.0;100.0;75.0;100.0;100.0;87.0;100.0;100.0;75.0;100.0;100.0;62.0;87.0;87.0;87.0;75.0;100.0;87.0
77008543;0;3350;1;-11.0;11.0;-8.9e-07;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;136.0;344666.65625;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.2;18;100.0;100.0;100.0;87.0;100.0;100.0;87.0;100.0;100.0;100.0;100.0;100.0;87.0;87.0;100.0;75.0;100.0;100.0;87.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;100.0;87.0;75.0;87.0;87.0
77008621;0;3350;1;-11.0;11.0;-7.4e-07;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;56.0;206800.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.6;18;100.0;88.0;88.0;88.0;88.0;100.0;100.0;88.0;88.0;75.0;100.0;88.0;100.0;88.0;88.0;88.0;75.0;100.0;75.0;100.0;100.0;75.0;100.0;88.0;88.0;62.0;88.0;88.0;100.0;88.0;88.0;88.0
77008692;0;3350;1;-11.0;11.0;-1e-06;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.2;18;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;88.0;100.0;88.0;88.0;88.0;100.0;88.0;100.0;100.0;100.0;75.0;100.0;100.0;100.0;88.0;100.0;75.0;100.0;88.0;100.0;75.0;88.0;75.0
77008768;0;3350;1;-11.0;11.0;-9e-07;;;;0.0;142.0;1.0;3294.117676;0.0;0.0;0.0;0.0;0.0;80.0;243294.125;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.2;18;87.0;87.0;100.0;75.0;87.0;100.0;87.0;100.0;100.0;87.0;100.0;87.0;100.0;75.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;87.0;87.0;100.0;75.0;100.0;75.0;87.0;75.0;100.0;75.0
77008846;0;3350;1;-11.0;11.0;-9.2e-07;;;;0.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.48;952076;1719516;89.0;1.2;18;100.0;88.0;100.0;100.0;100.0;75.0;100.0;75.0;100.0;100.0;88.0;100.0;88.0;88.0;100.0;75.0;100.0;88.0;88.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;100.0;75.0;75.0;100.0;75.0
